siteid,code,status,name,site_type
157DYMHWOJ1PO,MKSKPRL,ACTIVE,Tovarna Rail Terminal Skopje-FYROM,RAIL TERMINAL
3QZOH5AU59SPQ,SAJEDNS,ACTIVE,Dwaar Al Njoom,CUSTOMER LOCATION
2CB7JI9BA8TQ7,,INACTIVE,Sister Bay  Wi,TO BE UPDATED
1KXQVNQ7M1EJV,,INACTIVE,Please do not use,TERMINAL
1677635713330,NLSJK30P,INACTIVE,Smit-Holland,DEPOT
2L7Y651838ZGS,AOLAD01,ACTIVE,SGEP - Terminal de Segunda Linha,DEPOT
2TU7OUKYMK5DJ,DEREN01,ACTIVE,DBI Regensburg,DEPOT
0T0X0UTF4R22M,USNFKIOS,INACTIVE,Norfolk IOS,TO BE UPDATED
200B28Z2X97S7,IDJKTNL,ACTIVE,NLPI-Nagrak,DEPOT
M4O6U9H0BDNAA,GEPTIIC,ACTIVE,Iceberg Poti Depot,DEPOT
PRQJCEXD3PMI2,PECALAB,ACTIVE,Callao Anchorage,BARGE TERMINAL
24DUI1ADP6OHQ,,INACTIVE,Wickede (Ruhr),TO BE UPDATED
05CUJRBOSY7MA,BRRSHCO,ACTIVE,Conlog  Concordia Logistica S/A,DEPOT
3435267784370,USMEM37P,INACTIVE,Skc Skill Power Tool,CUSTOMER LOCATION
396D6M1OZ2FLR,,INACTIVE,Canaan     Ny,TO BE UPDATED
2G5T37TXEWJUN,USBSFSF,INACTIVE,Bsf-Sf Rr,RAIL TERMINAL
20TMVA5KBFN9B,,INACTIVE,Catlettsburg Ky,TO BE UPDATED
WLCCTJGKIXNDE,COMCBIM,ACTIVE,IMPALA TERMINALS BARRANCABERMEJA,BARGE TERMINAL
A72TYTRNKHKTZ,INPAVNC,ACTIVE,Navkar Corporation Limited,CONTAINER FREIGHT STATION
JBSVB6NYEDGNM,USNFKM2,ACTIVE,MDV SpartanNash LLC,CUSTOMER LOCATION
7HUUVTA9TALDN,BRSSZLV,ACTIVE,Libra Logistica Valongo,DEPOT
091CYSSBAEVSU,,INACTIVE,Anconcito - Guayas,TO BE UPDATED
152KO3Y0U44N3,,INACTIVE,Oostburg    Wi,TO BE UPDATED
3SLGE9M32UQ9Q,,INACTIVE,Wetter (Ruhr),TO BE UPDATED
37SZ5QJJODNY6,,INACTIVE,Munich,TO BE UPDATED
1ZGAQ9PLNXN63,,PENDING,Quick Transfer,DEPOT
188149DWD5O59,AUMEL23,ACTIVE,OCS,DEPOT
2VOIWHYPQQOZ6,AEUAQTM,ACTIVE,Um Al Quaim Terminal,TERMINAL
1L2UXNKGB4ZHO,USTACTR,ACTIVE,Washington United Terminals,TERMINAL
5842502999977,GBBFS30P,ACTIVE,Caterpillar Ltd,DEPOT
2SVS0M8KPWMZF,USHPYBT,INACTIVE,Bayport Transload Services,CUSTOMER LOCATION
2GYO0B4IEY8QE,NZDUNRR,ACTIVE,E-Yard Dunedin,RAIL TERMINAL
QJI8ZPUR8IKMS,KRBUSAC,ACTIVE,Busan Port Anchorage,TERMINAL
